Timestamp,gender,age,siblings,studentType,university/campus,future_ambition,maths,English,Science,Languages_Sinhala_Tamil,ICT_isStudied,aL_Stream,Combined_mathematics,Physics,Chemistry,information_technology,Biology,Agricultural_science,Languages,Engineering_Technology,Bio_System_Technology,Educational_Medium,sport_ university?,sport_school,likeToCode,Currently_staying_at,attendance_for_lectures,health,range_of_online_courses,Overall,degree_programme
1/2/2020 6:12,Male,Between 18 to 25,One,Part time student,IJSE,Website Designer,A,C,A,A,No,Mathematics/ Physical Science,S,S,,C,,,,,,Sinhala,Cricket,"Cricket, Athletics ",Yes,Home,4,Excellent,"Udemy, You tube channels, hacker rank",5,Software Enginnering
1/2/2020 7:35,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,C,A,B,Yes,Mathematics/ Physical Science,C,C,S,,,,,,,Sinhala,,,Yes,,3,Good,,3,Software Enginnering
1/2/2020 8:28,Male,Between 18 to 25,Two,Full time student,IIT,Business Analyst,C,A,C,C,Yes,Commerce,,,,A,,,,,,Engllish,Swimming,Swimming,Yes,Home,5,Very good,hacker rank,3,Software Enginnering
1/2/2020 8:36,Female,Between 18 to 25,One,Full time student,IIT,Website Designer,A,A,A,A,Yes,Biological Science,,B,A,B,B,,,,,Sinhala,Swimming,"Swimming, Athletes ",Yes,Hostel,1,Good,Udemy,4,Software Enginnering
1/2/2020 11:07,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Biological Science,None,C,B,,C,,,,,Sinhala,None,"Chess, Badminton",Yes,Home,4,Fair,"Udemy, You tube channels",4,Software Enginnering
1/2/2020 11:19,Male,Between 18 to 25,Two,Full time student,IIT,Software Engineer,A,A,B,A,Yes,Mathematics/ Physical Science,B,C,C,,,,,,,Sinhala,None,Cricket,Yes,Home,5,Excellent,"Udemy, You tube channels",4,Software Enginnering
1/2/2020 12:05,Male,Between 18 to 25,One,Full time student,IIT,Businessmen,A,C,C,C,No,Commerce,None,None,None,None,None,None,None,None,None,Sinhala,None,Cricket,Yes,Home,5,Good,"You tube channels, Datacamp",4,Software Enginnering
1/2/2020 14:51,Male,Between 18 to 25,Two,Full time student,IIT,Software Engineer,A,A,A,B,Yes,Mathematics/ Physical Science,F,S,None,A,None,None,None,None,None,Engllish,None,"Swimming, Chess, Squash, karate ",Yes,Home,5,Very good,,4,Software Enginnering
1/2/2020 15:41,Male,Between 18 to 25,Two,Full time student,IIT,Website Designer,A,A,A,A,No,Mathematics/ Physical Science,S,S,S,,,,,,,Engllish,None,None,Yes,Home,5,Very good,"Udemy, You tube channels",4,Software Enginnering
1/2/2020 17:15,Male,Between 18 to 25,One,Full time student,IIT,Project Manager,B,C,C,C,Yes,Commerce,,,,C,,,,,,Sinhala,None,Cadet band,Yes,Home,5,Very good,Not done,4,Software Enginnering
1/2/2020 18:18,Male,Between 18 to 25,Two,Full time student,IIT,Businessmen,A,A,A,A,Yes,Biological Science,,S,S,,C,,,,,Sinhala,"Swimming, Badminton","Swimming, Badminton",Yes,Home,4,Very good,"Udemy, Coursera, You tube channels",4,Software Enginnering
1/2/2020 19:31,Male,Between 18 to 25,One,Full time student,IIT,Website Designer,C,B,B,A,Yes,Mathematics/ Physical Science,S,S,S,,,,,,,Sinhala,None,BasketBall,Yes,Hostel,5,Very good,Not done,3,Software Enginnering
1/2/2020 20:08,Female,Between 18 to 25,One,Full time student,IIT,IT Consultant,C,A,C,B,No,Arts,,,,,,,C,,,Engllish,Netball,"Basketball, Athletics, Hockey , Netball, Gymnastic",Yes,Home,4,Very good,"Udemy, hacker rank, Datacamp",5,Computer Science
1/2/2020 22:33,Female,Under 18,Two,Part time student,SLIIT,Project Manager,B,B,A,A,No,Commerce,None,None,None,S,None,None,B,None,None,Sinhala,None,Swimming,No,Hostel,4,Very good,You tube channels,4,Business Analytics
1/2/2020 22:35,Male,Between 18 to 25,None,Full time student,ICBT,Business Analyst,S,A,S,B,No,Arts,None,None,None,None,None,None,S,None,None,Sinhala,None,None,No,Home,1,Very good,Not done,3,Business Management
1/2/2020 22:44,Female,Above 25,One,Full time student,SLIIT,Security Engineer,B,A,B,A,No,Mathematics/ Physical Science,C,B,S,,,,,,,Engllish,None,Chess,Yes,Home,3,Very good,"Udemy, Coursera, You tube channels, Stackoverflow",1,Cyber Security
1/2/2020 22:51,Female,Between 18 to 25,None,Full time student,SLIIT,"Architect, Mobile Security Engineer",A,B,B,A,No,Mathematics/ Physical Science,C,C,S,,,,,,,Tamil,None,Cricket,Yes,Home,3,Very good,"Udemy, Coursera",4,Cyber Security
